Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Australia,A1,26/08/05,Newcastle Jets,Adelaide United,0,1
Australia,A1,26/08/05,Perth Glory,Central Coast Mariners,0,1
Australia,A1,28/08/05,Brisbane Roar,New Zealand Knights,2,0
Australia,A1,28/08/05,Sydney FC,Melbourne Victory,1,1
Australia,A1,02/09/05,Adelaide United,Brisbane Roar,0,0
Australia,A1,02/09/05,New Zealand Knights,Sydney FC,1,3
Australia,A1,04/09/05,Melbourne Victory,Perth Glory,2,2
Australia,A1,04/09/05,Central Coast Mariners,Newcastle Jets,1,1
Australia,A1,09/09/05,Adelaide United,Melbourne Victory,1,0
Australia,A1,10/09/05,Perth Glory,Brisbane Roar,2,1
Australia,A1,10/09/05,Central Coast Mariners,New Zealand Knights,0,2
Australia,A1,11/09/05,Newcastle Jets,Sydney FC,2,1
Australia,A1,16/09/05,Sydney FC,Central Coast Mariners,2,3
Australia,A1,17/09/05,Perth Glory,Adelaide United,1,2
Australia,A1,18/09/05,Newcastle Jets,New Zealand Knights,4,0
Australia,A1,18/09/05,Brisbane Roar,Melbourne Victory,1,1
Australia,A1,22/09/05,New Zealand Knights,Perth Glory,0,1
Australia,A1,23/09/05,Brisbane Roar,Sydney FC,1,3
Australia,A1,25/09/05,Adelaide United,Central Coast Mariners,1,1
Australia,A1,25/09/05,Melbourne Victory,Newcastle Jets,1,0
Australia,A1,30/09/05,Central Coast Mariners,Melbourne Victory,1,2
Australia,A1,01/10/05,Perth Glory,Sydney FC,1,2
Australia,A1,01/10/05,Newcastle Jets,Brisbane Roar,0,1
Australia,A1,02/10/05,New Zealand Knights,Adelaide United,1,2
Australia,A1,07/10/05,Brisbane Roar,Central Coast Mariners,1,1
Australia,A1,08/10/05,Newcastle Jets,Perth Glory,1,5
Australia,A1,09/10/05,Sydney FC,Adelaide United,2,1
Australia,A1,10/10/05,Melbourne Victory,New Zealand Knights,3,0
Australia,A1,14/10/05,Adelaide United,Newcastle Jets,2,4
Australia,A1,15/10/05,New Zealand Knights,Brisbane Roar,0,2
Australia,A1,15/10/05,Central Coast Mariners,Perth Glory,4,0
Australia,A1,16/10/05,Melbourne Victory,Sydney FC,5,0
Australia,A1,21/10/05,Sydney FC,New Zealand Knights,2,0
Australia,A1,22/10/05,Brisbane Roar,Adelaide United,1,2
Australia,A1,23/10/05,Perth Glory,Melbourne Victory,2,1
Australia,A1,23/10/05,Newcastle Jets,Central Coast Mariners,1,0
Australia,A1,28/10/05,Melbourne Victory,Adelaide United,0,1
