Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Israel,I1,12/08/00,Beit Shean,Hapoel Jerusalem,1,0
Israel,I1,12/08/00,H. Beer Sheva,H. Kfar Saba,0,0
Israel,I1,12/08/00,Hak. Ramat Gan,Kiryat Gat,2,1
Israel,I1,12/08/00,M. Herzliya,Beitar Avraham,3,3
Israel,I1,12/08/00,M. Ironi Kiryat,Sakhnin,2,1
Israel,I1,18/08/00,Beitar Avraham,Hak. Ramat Gan,1,2
Israel,I1,18/08/00,H. Kfar Saba,M. Ironi Kiryat,1,1
Israel,I1,18/08/00,Hapoel Jerusalem,M. Herzliya,1,0
Israel,I1,18/08/00,Sakhnin,Beit Shean,1,2
Israel,I1,19/08/00,Hap. Ramat Gan,Kiryat Gat,2,2
Israel,I1,19/08/00,M. Nazareth,H. Beer Sheva,1,1
Israel,I1,25/08/00,Beit Shean,H. Kfar Saba,0,0
Israel,I1,25/08/00,Hak. Ramat Gan,Hapoel Jerusalem,1,1
Israel,I1,25/08/00,Kiryat Gat,Beitar Avraham,2,5
Israel,I1,25/08/00,M. Herzliya,Sakhnin,1,1
Israel,I1,25/08/00,M. Ironi Kiryat,M. Nazareth,3,0
Israel,I1,26/08/00,H. Beer Sheva,Hap. Ramat Gan,1,1
Israel,I1,29/08/00,M. Nazareth,Hap. Ramat Gan,0,1
Israel,I1,08/09/00,Hapoel Jerusalem,Kiryat Gat,2,2
Israel,I1,08/09/00,Sakhnin,Hak. Ramat Gan,0,2
Israel,I1,09/09/00,H. Beer Sheva,M. Ironi Kiryat,1,4
Israel,I1,09/09/00,Hap. Ramat Gan,Beitar Avraham,2,2
Israel,I1,09/09/00,M. Nazareth,Beit Shean,1,1
Israel,I1,15/09/00,Beit Shean,H. Beer Sheva,1,1
Israel,I1,15/09/00,Beitar Avraham,Hapoel Jerusalem,0,0
Israel,I1,15/09/00,Hak. Ramat Gan,H. Kfar Saba,0,2
Israel,I1,15/09/00,Kiryat Gat,Sakhnin,0,1
Israel,I1,15/09/00,M. Ironi Kiryat,Hap. Ramat Gan,2,0
Israel,I1,16/09/00,M. Herzliya,M. Nazareth,1,1
Israel,I1,22/09/00,H. Beer Sheva,M. Herzliya,0,0
Israel,I1,22/09/00,H. Kfar Saba,Kiryat Gat,1,0
Israel,I1,22/09/00,M. Ironi Kiryat,Beit Shean,1,1
Israel,I1,22/09/00,M. Nazareth,Hak. Ramat Gan,1,1
Israel,I1,23/09/00,Hap. Ramat Gan,Hapoel Jerusalem,1,1
Israel,I1,23/09/00,Sakhnin,Beitar Avraham,2,2
Israel,I1,01/10/00,Beit Shean,Hap. Ramat Gan,0,0
