Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SaudiArabia,SPL,03/11/00,Al Najma,Al Nasr Riyadh,0,1
SaudiArabia,SPL,03/11/00,Al-Ettifaq,Al Riyadh,1,0
SaudiArabia,SPL,04/11/00,Al Ahli SC,Al Ansar,3,0
SaudiArabia,SPL,08/11/00,Al Qadisiya,Sdoos,0,3
SaudiArabia,SPL,09/11/00,Al Najma,Al Ahli SC,0,1
SaudiArabia,SPL,09/11/00,Al Wehda,Al Shabab,1,0
SaudiArabia,SPL,13/11/00,Al Riyadh,Al Shabab,1,0
SaudiArabia,SPL,13/11/00,Al-Ittihad FC,Sdoos,1,0
SaudiArabia,SPL,16/11/00,Al Ansar,Al Najma,3,3
SaudiArabia,SPL,16/11/00,Al-Ettifaq,Al Ahli SC,2,2
SaudiArabia,SPL,17/11/00,Al Qadisiya,Al Wehda,2,2
SaudiArabia,SPL,20/11/00,Al-Ittihad FC,Al Ansar,3,1
SaudiArabia,SPL,23/11/00,Al Ansar,Al-Ettifaq,2,0
SaudiArabia,SPL,23/11/00,Al Najma,Al-Ittihad FC,0,4
SaudiArabia,SPL,23/11/00,Al Riyadh,Al Qadisiya,2,1
SaudiArabia,SPL,23/11/00,Al Wehda,Sdoos,1,0
SaudiArabia,SPL,27/11/00,Al Riyadh,Sdoos,0,1
SaudiArabia,SPL,28/11/00,Al Wehda,Al-Ittihad FC,3,4
SaudiArabia,SPL,28/11/00,Al-Ettifaq,Al Najma,4,0
SaudiArabia,SPL,28/11/00,Al-Hilal,Al Ansar,0,0
SaudiArabia,SPL,29/11/00,Al Qadisiya,Al Nasr Riyadh,1,3
SaudiArabia,SPL,29/11/00,Al Shabab,Al Ahli SC,0,0
SaudiArabia,SPL,02/12/00,Al Ahli SC,Al Qadisiya,3,1
SaudiArabia,SPL,02/12/00,Al Nasr Riyadh,Sdoos,3,0
SaudiArabia,SPL,02/12/00,Al Wehda,Al Riyadh,1,0
SaudiArabia,SPL,02/12/00,Al-Ettifaq,Al-Ittihad FC,2,0
SaudiArabia,SPL,03/12/00,Al Shabab,Al Ansar,3,2
SaudiArabia,SPL,05/12/00,Al Nasr Riyadh,Al Wehda,0,0
SaudiArabia,SPL,06/12/00,Sdoos,Al Ahli SC,1,1
SaudiArabia,SPL,07/12/00,Al Ansar,Al Qadisiya,1,0
SaudiArabia,SPL,07/12/00,Al-Ittihad FC,Al Riyadh,0,0
SaudiArabia,SPL,08/12/00,Al Shabab,Al Najma,1,0
SaudiArabia,SPL,10/12/00,Al Ahli SC,Al Wehda,3,0
SaudiArabia,SPL,10/12/00,Sdoos,Al Ansar,1,2
SaudiArabia,SPL,11/12/00,Al Nasr Riyadh,Al Riyadh,0,1
SaudiArabia,SPL,11/12/00,Al-Ettifaq,Al Shabab,1,1
SaudiArabia,SPL,12/12/00,Al Qadisiya,Al Najma,1,1
SaudiArabia,SPL,14/12/00,Al Riyadh,Al Ahli SC,1,1
SaudiArabia,SPL,15/12/00,Al Wehda,Al Ansar,2,3
SaudiArabia,SPL,15/12/00,Al-Ettifaq,Al Qadisiya,4,2
